,root_term,CUI,CUI_name,root_list
0,anxiety,C0003467,Anxiety,True
1,anxiety,C0522181,Taphophobia,False
2,anxiety,C0522182,Nosophobia,False
3,anxiety,C0392331,Arachnophobia,False
4,anxiety,C0522183;C3698185,Fear of blood,False
5,anxiety,C0522184,Microphobia,False
6,anxiety,C0424191;C0522185;C3475668;C3482985,Fear of infection,False
7,anxiety,C0522185,Fear of contracting HIV infection,False
8,anxiety,C0522186,Toxicophobia,False
9,anxiety,C0522187,Tocophobia,False
10,anxiety,C0522188,Teratophobia,False
11,anxiety,C0522189,Pyrophobia,False
12,anxiety,C0522190,Astrapophobia,False
13,anxiety,C0522192,Nyctophobia,False
14,anxiety,C0522193,Theophobia,False
15,anxiety,C0522194,Androphobia,False
16,anxiety,C0522195,Gynephobia,False
17,anxiety,C0424154;C0497237,Fear of heart attack,False
18,anxiety,C0497238,Fear of hypertension,False
19,anxiety,C0520683,Occupation-related stress disorder,False
20,anxiety,C3840205,Anxiety disorder in mother complicating childbirth,False
21,anxiety,C0003471;C0338997,Anxiety disorder of childhood OR adolescence,False
22,anxiety,C1291716,Unrealistic dental phobia,False
23,anxiety,C1291717,Heightened global phobia,False
24,anxiety,C3887605,Dream anxiety disorder,False
25,anxiety,C0270566;C0270571,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks",False
26,anxiety,C0270573;C0270578,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission",False
27,anxiety,C0231398,"Anticipatory anxiety, mild",False
28,anxiety,C1527281;C0520607,Separation anxiety disorder of childhood,False
29,anxiety,C0270555;C0270561;C0270567;C0270575;C0270576;C0270577;C0270579;C0270573;C0270578,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission",False
30,anxiety,C5229858,Anxiety disorder caused by methamphetamine,False
31,anxiety,C0003477;C1527281;C4305159;C4305172;C4305298;C4305594;C0520607;C4695148;C4695149;C5141421;C5143153,Separation anxiety,False
32,anxiety,C0522179,Death anxiety,False
33,anxiety,C0270307,Overanxious disorder of childhood,False
34,anxiety,C0270586;C0270585,Agoraphobia without history of panic disorder with limited symptom attacks,False
35,anxiety,C4706725,Recurrent mild major depressive disorder co-occurrent with anxiety,False
36,anxiety,C4706727,Recurrent severe major depressive disorder co-occurrent with anxiety,False
37,anxiety,C4706726,Recurrent moderate major depressive disorder co-occurrent with anxiety,False
38,anxiety,C4706788,Recurrent major depressive disorder co-occurrent with anxiety in full remission,False
39,anxiety,C4706815,Recurrent major depressive disorder in partial remission co-occurrent with anxiety,False
40,anxiety,C4511585,Mild major depressive disorder co-occurrent with anxiety single episode,False
41,anxiety,C4511584,Moderate major depressive disorder co-occurrent with anxiety single episode,False
42,anxiety,C4511582,Severe major depressive disorder co-occurrent with anxiety single episode,False
43,anxiety,C0436600,O/E - anxious,False
44,anxiety,C2874521;C2874545;C0236730;C4237393;C2874568,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder",False
45,anxiety,C0236748;C0270364,Organic anxiety disorder,False
46,anxiety,C0270553;C0270563,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks",False
47,anxiety,C0581386,Chronic anxiety,False
48,anxiety,C0581387;C4706725;C4706726;C4706727;C4706788;C4706815,Recurrent anxiety,False
49,anxiety,C0154457;C0270550;C0270556;C0270562;C0270568;C0270574;C0270580;C0270581;C0270582;C0270551;C0270552;C0270553;C0270554;C0270555;C0270557;C0270558;C0270559;C0270560;C0270561;C0270563;C0270564;C0270565;C0270566;C0270567;C0270569;C0270570;C0270571;C0270575;C0270576;C0270577;C0270583;C0270584;C0270585;C0270586;C0270572;C0270573;C0270578;C0270579,Agoraphobia with panic attacks,False
50,anxiety,C0338905,"Social phobia, fear of eating in public",False
51,anxiety,C0338904,"Social phobia, fear of public speaking",False
52,anxiety,C0338903,"Social phobia, fear of public washing",False
53,anxiety,C0233704;C0497439,Fear of pregnancy,False
54,anxiety,C0028768;C0009595;C0349239;C4760315;C4511342;C4551299;C5190006;C4511555;C4546270;C4268242;C3165755;C3169785;C4268234;C4268239;C4268240;C4509031;C4268247;C4268256;C4268257;C4268260;C4268288;C4268297;C4268298;C4268300,Obsessive-compulsive disorder,False
55,anxiety,C0542334;C0028768,Compulsive neurosis,False
56,anxiety,C0302832,Obsessional neurosis,False
57,anxiety,C3665436,Psychogenic rumination,False
58,anxiety,C0338914,Acute panic state due to acute stress reaction,False
59,anxiety,C0338912,Acute fugue state due to acute stress reaction,False
60,anxiety,C0338913,Acute stupor state due to acute stress reaction,False
61,anxiety,C0543947,Acute situational disturbance,False
62,anxiety,C0338916,Acute post-trauma stress state,False
63,anxiety,C0338911,Stress reaction causing mixed disturbance of emotion and conduct,False
64,anxiety,C0349337,Childhood phobic anxiety disorder,False
65,anxiety,C0233706,Fear of insects,False
